ID,id,lat,lon,datetime
EP061949,            UNNAMED,18.8,-108.8,1949-09-30 00:00:00
EP061949,            UNNAMED,18.2,-110.1,1949-09-30 06:00:00
EP061949,            UNNAMED,16.7,-111.6,1949-09-30 12:00:00
EP011950,            UNNAMED,14.1,-98.2,1950-06-14 12:00:00
EP011950,            UNNAMED,14.2,-98.5,1950-06-14 18:00:00
EP011950,            UNNAMED,14.4,-98.9,1950-06-15 00:00:00
EP011950,            UNNAMED,14.8,-99.5,1950-06-15 06:00:00
EP011950,            UNNAMED,15.2,-99.9,1950-06-15 12:00:00
EP011950,            UNNAMED,15.4,-100.0,1950-06-15 18:00:00
EP011950,            UNNAMED,15.6,-100.1,1950-06-16 00:00:00
EP011950,            UNNAMED,15.9,-100.2,1950-06-16 06:00:00
EP011950,            UNNAMED,16.1,-100.3,1950-06-16 12:00:00
EP011950,            UNNAMED,16.1,-100.6,1950-06-16 18:00:00
EP011950,            UNNAMED,16.2,-101.1,1950-06-17 00:00:00
EP011950,            UNNAMED,16.4,-101.6,1950-06-17 06:00:00
EP011950,            UNNAMED,16.6,-102.1,1950-06-17 12:00:00
EP011950,            UNNAMED,16.8,-102.8,1950-06-17 18:00:00
EP011950,            UNNAMED,17.0,-103.6,1950-06-18 00:00:00
EP011950,            UNNAMED,17.4,-105.0,1950-06-18 06:00:00
EP011950,            UNNAMED,18.1,-106.0,1950-06-18 12:00:00
EP011950,            UNNAMED,19.0,-106.0,1950-06-18 18:00:00
EP011950,            UNNAMED,20.0,-106.0,1950-06-19 00:00:00
EP011950,            UNNAMED,20.8,-106.0,1950-06-19 06:00:00
EP011950,            UNNAMED,21.5,-106.0,1950-06-19 12:00:00
EP021950,            UNNAMED,18.4,-105.9,1950-07-03 12:00:00
EP021950,            UNNAMED,19.0,-106.3,1950-07-03 18:00:00
EP021950,            UNNAMED,19.5,-106.7,1950-07-04 00:00:00
EP021950,            UNNAMED,20.2,-107.2,1950-07-04 06:00:00
EP021950,            UNNAMED,20.7,-107.8,1950-07-04 12:00:00
EP021950,            UNNAMED,21.0,-108.4,1950-07-04 18:00:00
EP021950,            UNNAMED,21.1,-109.0,1950-07-05 00:00:00
EP021950,            UNNAMED,21.2,-109.7,1950-07-05 06:00:00
EP021950,            UNNAMED,21.4,-110.4,1950-07-05 12:00:00
EP021950,            UNNAMED,21.8,-111.2,1950-07-05 18:00:00
EP021950,            UNNAMED,22.3,-112.0,1950-07-06 00:00:00
EP021950,            UNNAMED,22.8,-112.8,1950-07-06 06:00:00
EP021950,            UNNAMED,23.3,-113.6,1950-07-06 12:00:00
EP031950,            UNNAMED,16.1,-108.0,1950-07-09 12:00:00
EP031950,            UNNAMED,16.4,-108.4,1950-07-09 18:00:00
EP031950,            UNNAMED,16.7,-108.9,1950-07-10 00:00:00
EP031950,            UNNAMED,17.1,-109.7,1950-07-10 06:00:00
EP031950,            UNNAMED,17.5,-110.5,1950-07-10 12:00:00
EP031950,            UNNAMED,17.8,-111.2,1950-07-10 18:00:00
EP031950,            UNNAMED,18.0,-112.0,1950-07-11 00:00:00
EP031950,            UNNAMED,18.3,-113.0,1950-07-11 06:00:00
EP031950,            UNNAMED,18.6,-114.0,1950-07-11 12:00:00
EP031950,            UNNAMED,18.7,-114.9,1950-07-11 18:00:00
EP031950,            UNNAMED,18.6,-115.9,1950-07-12 00:00:00
EP031950,            UNNAMED,18.4,-117.0,1950-07-12 06:00:00
EP031950,            UNNAMED,18.1,-118.0,1950-07-12 12:00:00
CP011950,               HIKI,14.5,-144.5,1950-08-12 00:00:00
CP011950,               HIKI,14.9,-144.8,1950-08-12 06:00:00
CP011950,               HIKI,15.2,-145.2,1950-08-12 12:00:00
CP011950,               HIKI,15.5,-145.6,1950-08-12 18:00:00
CP011950,               HIKI,15.7,-145.8,1950-08-13 00:00:00
CP011950,               HIKI,15.9,-146.3,1950-08-13 06:00:00
CP011950,               HIKI,16.3,-146.9,1950-08-13 12:00:00
CP011950,               HIKI,16.6,-147.6,1950-08-13 18:00:00
CP011950,               HIKI,16.8,-148.1,1950-08-14 00:00:00
CP011950,               HIKI,17.5,-149.1,1950-08-14 06:00:00
CP011950,               HIKI,18.3,-150.1,1950-08-14 12:00:00
CP011950,               HIKI,19.3,-151.3,1950-08-14 18:00:00
CP011950,               HIKI,20.1,-152.4,1950-08-15 00:00:00
